Review,Rank,Year
"What an amazing film. I had no idea what a wonderful film this is. I mean, I'm in my mid 30's and a mum of 3. I absolutely love this film. My kids really enjoy it but I don't think they really appreciate the message that it is trying to put across. (well, my 4 year old anyway) My 7 year old just likes it for the bang factor. (the explosions and stuff!) ",9,2006
"This certainly ranks as one of the finest examples of cinema in recent pop culture memory. Intelligent, funny, tragic, and deeply moving, we'd be so lucky to ever see an American animated film strike such chords again. ",10,2009
"I finally took the time to see writer/director Brad Bird's first foray into feature length film with The Iron Giant. Hearing how great of a film it was and the success of his Pixar debut The Incredibles, I've been seeing the movie on my shelf for a while now, just waiting to finally be viewed. If you thought his last movie had heart, you need to see this one. While being based on a book, I'm not sure if it is the original source material or Bird's vision on screen, but the parallels to King Kong are unmistakable. This creature from another world instills fear into all but one personone person who can see beneath the harsh exterior into the wealth of feelings and compassion bottled up within. Sure the beauty in a story like King Kong is the sacrifice he makes in order to keep his love safe at the unfortunate price of being a monster in the eyes of everyone else, but here we have a kid's story where happy endings aren't just a commonality but a necessity. Bird handles the subject matter nicely at the end in order to give the audience the same emotional attachment to the creature despite the fact that the general population does end up seeing him for what he truly is. Ala Superman/Spider-Man/ etc, the monster mystic soon dissolves as they begin saving human lives.",8,2007
"I consider myself a fairly hard-headed and cynical guy.  I like my movies to have blood and death.  As a rule, I want to see explosions and terrible slaughter.  I loath sentimental slop.  So, when I sat down to watch Iron Giant, I was not expecting much more than a Disney-esque piece of emotional goo.  I'd also read the original book, and I was prepared to be annoyed by departures from the 'Iron Man'.",9,2003
"WB certainly took some risks here.  An animated flick with no musical numbers, no cute little animal sidekicks, blood, and a couple ""damn""s, ""hell""s and even a ""screw""?  Overall, I think it worked fairly well.  Nice animation, retro-design characters, simple but sophisticated plot, and just the right touch of visual humor, e.g. the robot mimicking the child's postures, the detached hand running amok through the house, etc.  Ignore the preachy anti-gun message (which was, by the way, lost on the younger kids in the audience - my four year old thought the iron giant was cool because ""he had all those guns that could blow up tanks""), and you have yourself one very entertaining movie.  Maybe they could have made the moral more reasonable, i.e. ""gun's can be good if used defensively"", but I guess that would have (** spoiler alert!! **) made the ending far less dramatic -  a blast from one of the robot's lasers would probably have sufficed.",7,1999
"No matter what anyone says, It wasn't me blubbering at the end of this movie.  I had something in my eye, was all.  Anyone who testifies differently is a filthy liar.  I thought the movie was okay, you know, if you're like a kid or something, but it didn't touch me at all... *sniff* I have to go now...",10,2000
I have seen many animated movies in my life from Nightmare Before Christmas and Batman:Mask of the Phantasm to Snow White and the Lion King. The Iron Giant is the best by far not just technically with amazingly beautiful visuals but overall. This movie appeals to people of all ages like no other movie before if you have not seen it go see it. ,10,2006
"I had heard from other people that Farscape was good, so when I had the opportunity to watch the two final episodes in the whole series, I took it, and I haven't regret it since. I only regret, that I took me so long to discover the BEST SCI-FI Series on EARTH. (It will be difficult to beat this one). By watching these episodes, it made me want to know what had happen prior to the final, how it all had started, I just wanted more of the same.",10,2005
"I am a die hard science fiction fan. I mean really, i read it i watch it i even listen to the theme songs. The Farscape series and the finishing mini series is the absolutely best science fiction show i have ever seen. The show only aired very shortly on cable TV here in Denmark, so i bought all of the episodes on DVD.",9,2007
Thanks to Sci-fi and the Henson Company for this wonderful contribution to the TV science fiction canon.,9,2007
"I personally believe that Farscape was the finest Sci-Fi show ever put out on television ever. I hardly ever watch the beastly box, but this show was both fantastically written and visually in a league of it's own. The aliens were really alien, not just your man with a Cornish pasty on his head of the week kind of alien. The characters were excellently realised and in almost all cases excellently delivered... ... I highly advise watching it... .... .... .... ....... ........... ........ ....... ... ..... ..... ....... .... ......... ...... ..... I don't have any more to say, stop wasting your time reading this thing and go and watch Farscape already... The story really builds....",10,2007
"Thanks to the BBC I was introduced to this extremely wonderful and epic show! This show had everything, humor,action,thrills,great characters and the best drama! Now you may think I am not being objective,but when it comes to movies and TV shows I can be very critical! For me an excellent series is a show I can watch over and over again without getting bored! Let me tell you,there are not many shows who are able to do that! Farscape manages to do so with ease. I think there are many reasons why this show is great! 1). The combination of CGI and Jim Henson's Creature shop muppetry give the show a look never seen before. ",10,2006
"FarScape is PERFECT!!! Go and watch it on TV, buy a DVD, I don't care, just watch this magnificent show! This show has it all- humor, romance, drama, excellent cast. It is funny, crazy, smart, just like life itself. after you watch it go to our at Watchfarscape.com and help save Farscape. Farscape has been closed, but we want it back, we need every scaper out there! this show is better than any other, and I don't mean only any other sci-fi show but EVERY show there is out there, just watch the first episode of FARSCAPE and you will know what I'm talking about! This show is truly amazing, watch, and watch it right now, don't waste time...turn of the computer and Watch it. Scape on!",10,2007
"Excellent , perfectly acted , crazy , creative , dramatic , romantic , funny , thrilling etc. All these terms are combined together to create one of the best science fiction/fantasy productions ever made : Farscape.",10,2007
"After completing disc two of season 3, I just can't contain my excitement any longer. Scifi fans and fans of great television take note, Farscape goes from strength to strength progressively getting bigger, better, glossier and meatier with every passing episode. ",9,2007
"Most episodes of Farscape had a single writing credit, but here's how I think they were really written: Half a dozen geniuses in a room have fun writing a script together to the best of their ability. When they're done, they lock themselves in there for a further week and take it apart line by line, constantly asking, 'How can we do this better? How can we do this different? How can we put an original spin on this?' They do this until it's no longer fun and they hate each other. When they break through that and they're in love again they go back once more and really have fun putting humour and sick stuff in.",10,2009
"I only started to watch this a few months ago as I have read so many good reviews and wanted a new show to watch while so many are put on hold, and I have to say this was well worth all the time I put into watching it.",10,2007
It was unfortunate I didn't get into this show until it was canceled. I have become hooked. I have the complete collection on disc and have been unable to watch anything but. I love both the characters and the actors of Farscape. I wish there were periodic movies continuing the storyline. At least I can watch Bowder and Black on SG1. (also and awesome show.) ,10,2007
"Either you love Farscape or you hate it. I don't think there is anything between. I love it and even after more than 15 years it's still one of my favorite shows for many reasons and I re-watch like every two years. Farscape is absolutely crazy, smart, sexy, funny and heartbreaking. There are no resets with the shows. Characters grow, they change and evolve. Actions have consequences and when you think you have seen everything in the genre Farscape does something new. ",10,2016
"I bought all 4 series on DVD (on a cheap special) because I was intrigued by the character Chiana, which I can fully accept is no reason to get into a long lasting TV series. Unfortunately I had to watch season 2 first because the others were still on LayBy, and I know this was another mistake, but I feel it is important to describe the experience. For the first dozen or so episodes I had a slight ill feeling over having had the series put away for me at the store, because I really did find the shows to be a bit silly. But then a change occurred during the ""Look At The Princess"" trilogy. I got to the end of the first part and realised that I had been watching for 45 minutes with a smile on my face. By the end of part 2 the smile had broadened, and by the end of part 3 I was telling all who would listen about how great the show was. Since then I have watched all 4 seasons in their entirety and have absolutely loved every second of it! So my advice is simply this; please give this show a real chance. If you love it from the first moment, great! But if you are like me and find it rather difficult to get into for the first few episodes (especially if you don't get to see it from season 1), PLEASE KEEP GOING! I promise you it will be worth it in the end! Oh yeah, and Chiana slipped down the list to become my fourth favourite character when all was said and done (behind Scorpius, D'Argo & John). The entire cast was incredible!",10,2006
"'Holby City' used to be rubbish, but with the introduction of Connie, Elliot, Mark, Sam S etc, it has turned into a very respectable series - something I would try and get home to watch. I think it is 'Casualty' that has gone downhill - the story lines never seem to go anywhere anymore and I'm not really that bothered if I miss it for an episode of 'Friends', as I can usually catch up because there is never much going on in an episode. If not, my parents can describe the particular episode in quite a lot of detail in a few short sentences. However, if I missed an episode of 'Holby' I would know about it as the story behind it is so much more complex and richly acted through.",10,2006
"This show demonstrates the depths to which UK TV pre-watershed drama has sunk. With these dull scripts, mediocre acting, poor plots, awful dialog, one is forced to watch a DVD of any old ER episode to see excellent hospital drama.",3,2006
"I have watched Hollywood movies and television for decades and know all their standard cliches. If I watch the first and last five minutes of a movie, I can tell you nearly everything that happened in between. Not with Holby City. Holby City is hot, so good it seems to almost be alive. All the parts, writing, directing, acting, cinematography fit together so beautifully, that to me they approach art. Just know I would not miss a single episode, and if I could watch only one drama series on TV, Holby City would be my choice. Just wish BBC would sell the episode where the whole cast gives Arthur a spectacular send off. When things weren't going well I would put that episode on to chase away the gloom and remind me of happier and better times. Long live Holby City. Can think of no better introduction to Holby City than watching the still available episodes 62 and 63. Calling Holby City a soap opera is wrong. Soap Operas were created early in the last millennium to keep bored housewives distracted while their husbands went out to work. But the Soap Operas were nearly always written by men and were filled with fantasies of office romance, flirtatious secretaries, promiscuity, and adultery. As suspicious housewives greeted their husbands thinking I know what you did at the office today. I am sure the Soap Operas were responsible for the breakup of more than a few marriages. Holby City is televised drama and could have been written by any of our finest dramatists. Holby City sticks to business and stays away from the salaciousness of the typical Soap Opera. Cheers, to excellent drama and comedy.",10,2017
"This show came before Grey's Anatomy and will likely be on after that show ends. I only saw one episode last night but it's typical British soap fare. There is a Jamaican doctor who is taking care of orphaned baby Leeann until they locate her father. She suspects that he is a drug addict because of the physical symptoms and questions the authority. There are other members in the cast but the show doesn't exhibit anything but average writing, above average acting, and above average sets. I never saw Casualty so I can't tell the difference or the similarities. It was on after EastEnders so I watched it and it was watchable in my opinion but I wouldn't say excellent because I think the show needs to do more work in getting strong characters who will be memorable and writing that creates a sensation. Until then, Holby City will be the sister show of Casualty and while it follows EastEnders, it might get an audience leftover to keep it going. I think the show is good and worth watching.",7,2006
"I like both Casualty and Holby City, though despite their quite short episodic lengths, both do suffer from some problems with pacing- it is a bit slow, and perhaps not very easy to stick your teeth into. However, it is decently acted, I enjoy the performances of Amanda Mealing, Paul Bradley, Robert Powell and Hugh Quarshie, and when he was in it, Tom Chambers as Sam. I will confess that despite Richard Briers being on the show for the Christmas episode, that particular episode was a departure from the usual thing we come to expect from Holby City despite a nice twist on It's A Wonderful Life. The scripts are good, and the story lines are quite intriguing, if perhaps predictable at times. Overall, quite arresting stuff. 8/10 Bethany Cox",8,2009
"Much like the candy that bears it's name, ""Jawbreaker"" is a sweet, infectious dark comedy that wants you to enjoy it for a good, long time. Unfortunately, also like the candy, the film is a little hard to swallow, and it doesn't last as long or come on as strong as it's name would lead you to believe.  But even though you know that much candy is bad for you, you still want to have it.",7,2004
"""Jawbreaker"" has all the predictable, clichéd elements of past teen comedies, but I can't deny the fact that I enjoyed it. I think part of its appeal is that it's a darker comedy, like ""Heathers""--though this movie certainly isn't in the same league. Everybody in the cast gives fine performances. Rose McGowan's is a little over-the-top, but I think it fit the tone of the movie. The running time is about 85 minutes, so it doesn't go on long. There are plenty of funny moments that keep it entertaining. You can argue that the Karen Carpenter joke was too cruel, but that joke alone didn't ruin the film for me. The ending is certainly a cop-out. There could've been a MUCH better pay-off! But despite the fact that ""Jawbreaker"" is undoubtedly a flawed film, it's energetic and fun. There are much worse teen movies out there.",7,2004
"Courtney(Rose Mcgowan),Julie(Rebecca Gayheart),Marcie(Julie Benz) and Liz(Charlotte Ayanna) were the most popular girls at school. But on Liz's 17th birthday, her friends want to surprise her and kidnap her. But that plan goes wrong, when accidently, Liz chokes on the jawbreaker, her friends stuffed in her mouth to keep her from screaming. Everyone is totally shocked, except the cold hearted Courtney, who just doesn't give a crap about anybody but herself. Julie wants to go to the police right away and tell them what happened but Courtney calms her down and tries to cover the crime and make it look like somebody raped Liz. Suddenly, a geeky outcast named Fern Mayo(Judy Greer) who has always admired Liz, finds out what happened to her and is totally devasted. Courtney tells her if she keeps her mouth shut, she will make Fern something she always wanted to be. POPULAR. This was a very entertaining and fun dark comedy. I enjoyed it a lot. Rose Mcgowan is gorgeous and does a great job along with the rest of the cast. I would give Jawbreaker 10/10",8,2003
"Jawbreaker is a copy of a copy. It takes plot points from Heathers, Carrie, and uses some originals of it's own to create itself. It's not a bad film. Actually one of the better teen films I have seen recently. It reminds me of a much more recent film I saw a few months back called Mean Girls. Of course that came five years later. This one has all very beautiful, and perky actresses that flood the screen at one time, much like Mean Girls. But Mean Girls was a film that was much more tame and lit the screen up. This one falls under a dark comedy.",8,2011
"The first time I saw this movie was in TV and I liked it so much i recorded it on tape. And watched it again and again and again and again...till the tape was done.....so i bought it on DVD one year later.... At the beginning i thought it's gonna be just ""another teen movie""... BUT IT'S NOT!",10,2007
"When you watch ""Jawbreaker,"" you can't help but sense echoes of ""Heathers,"" ""Clueless"" and ""The Craft.""  So it is a bit of a derivative teen bopper flick.  But it's not a total rip-off and does stand on its own two feet.",6,2001
Jawbreaker is *no* Heathers.,1,2000
"A group of ultra-hip teenage schoolgirls (from Reagan High!) accidentally kill one of their own in a birthday prank gone awry; they struggle to keep their deed a secret even after a nerdy student discovers the truth. Darkly comic tale, brightly-produced yet full of cynicism, has brief moments that go out on a limb, but is ultimately a rather formulaic ""Heathers"" knock-off. Holds interest nearly half the way, however the wrap-up is right off the assembly-line. It certainly benefits from a good cast, with the central performances by Rose McGowan and Rebecca Gayheart spot-on, however prominently-billed P.J. Soles, William Katt and Marilyn Manson hardly appear at all. *1/2 from ****",4,2008
"Now, the second word to come to mind was insipid.  I wasn't sure exactly that word meant, but for some reason I thought it fit. So, I came home and looked it up. And now, here is the Webster's New World College Dictionary definition of insipid: ""Insipid - adj. - 1. Without flavor, tasteless. 2. Not exciting or interesting; dull; lifeless. Insipid implies a lack of taste or flavor and is, hence, figuratively applied to anything that is lifeless, dull, etc."" I think I may have found a new favorite word. Insipid describes exactly how I felt about this good for nothing movie. Rose McGowan, Julie Benz, and Rebecca Gayheart play three popular girls in high school. As a birthday prank, they kidnap their other best friend so they can humiliate her in front of the whole school. In doing so, they stuff a very large jawbreaker in her mouth to keep her quiet. She accidently swallows it and dies. When a quiet non-popular girl (Judy Evans Greer) finds out, the popular girls tell her that to buy her silence, they will make her popular. Well one thing leads to another, blah blah blah good triumphs over evil and everyone has a la-di-dah time. Now let me ask you something. I may have gone to a normal high school, but I certainly don't remember hearing about friends kidnapping other friends, gagging them, stuffing them into trunks of cars, and then wanting to humiliate them in front of the school. It just doesn't seem like something friends do to each other for a birthday. Maybe get them drunk. Maybe take them out to dinner. Maybe rent a stripper. But kidnapping isn't something I normally think of. So the premise of the movie was stupid. And then the rest of the movie fell into place. Honestly the only good thing about this movie was seeing what next tight, revealing clothing the girls were going to wear next. The script was horrible, which meant that the actors sounded extremely stupid when having to speak those words. The direction was bad, the music was ok, but only when Rock You Like a Hurricane came on. Oh yeah, and I did like seeing Marilyn Manson dressed up as a regular guy (albeit a strange looking one). So pass on this piece of crap. I'd rather spend an hour and a half sucking on a real jawbreaker and staring at the wall than sit through this again.",3,2002
"A pack of 'mean girls' play a prank on the school's prom queen. They kidnap her and put a jawbreaker gumball in her mouth to keep her quiet, hence the title. One problem: she chokes on the gumball. Now the girls have a dead body on their hands. The movie slides into familiar territory (The Trouble with Harry, Weekend at Bernie's) as the girls try to figure out how to get rid of the body while avoiding suspicion. Cops and other complicating factors begin showing up at the worst possible moment, etc. etc. The comedic complications are mostly well executed, and the usual pangs of conscience and arguments among the conspirators keep things lively. ",5,2012
"Another dark high school dramedy, this follows three teen vixens who accidentally kill their fourth best friend. When the class geek walks in on them they bribe her into complacent silence by making her into one of them. But they create a monster and she becomes the new reigning teen bitch.",10,2005
"Ew.  This movie is horrible.  It's either a bad homage or straight out rip-off of the film ""Heathers"", which is worlds better than this, plus it features Rose McGowen reprising that same role she does in just about every film she's in: heartless bitch that never shows any emotions (the only other character she ever portrays is ditzy girl that never shows any emotions. She has range...).  Plus, as if the lame script, thin satire and horrible acting wasn't enough - you get to see Rose and her real life boyfriend, Marilyn Manson, have sex.  It's charming.",1,2001
"This film is sort of similar to mean girls (well, mean girls would be similar to this), but a lot more daring and darker. The characters make the movie what it is. Rose McGowan does a great job as a evil, manipulating bitch who stops at nothing to live her perfect life. The rest of the cast also did really good. The storyline is over the top, but it makes a great riot. Plus, the film actually has some morale to it, showing the good and bad side to human nature. If you like cult films, watch it. And definitely watch it if you are a fan of anyone in the cast. I rate this 7/10. Rated R for sexuality,language and violence-all involving teens.",7,2008
"This movie totally rocked!! I thought this movie had great punch-lines, great style, great music, and above all an AWESOME cast. Rose McGowan is great in this movie, along with newcomer Judy Greer. Julie Benz and Rebecca Gayheart also are good in this movie. This movie sort of put a twist on the teen sensation, along with an R rating and TONS of sex appeal. Overall, I give this movie ****1/2 of *****",10,2000
"This movie wanted to be ""Heathers"" so badly it could taste it. Unfortunately, without Christian Slater, it fell a bit short of that level. Still, good black comedies are hard to find, and Rose McGowan is nearly strong enough to carry the entire movie. Certainly this is worth a rental.",7,2000
"The people who mad this mess have the nerve to compare it to Heathers, a smart, witty, satire. This movie has none of those elements. I did not crack one smile during the whole movie.  Its sad when the best thing that can be said about a movie is its soundtrack.",2,1999
"This has to be one of the worst acted movies that I've ever seen in my entire life.  The plot is weaker than a wet noodle and the shear ridiculousness of it makes one want to burn the video just on principle of preventing future viewers from suffering.  Other than having some attractive actors struting about this has  absolutely no redeeming value.  It is not even entertaining.  After the first 5 minutes I was constantly saying to myself""why are you watching this @#$%.  To which my only logical reply was that ""It has to get better.  It can't be worse.""  It's sort of a Beverly Hills meets Weekend at Berny's without the comedy.  I didn't laugh at anything that the makers had intended to be funny.  The only thing about the whole film that I found even remotely amusing in an ironic sense is how Hollywood keeps spewing up stuff like this movie while artists with a half way original idea are shunned.  Do not see this movie!!   If you do, make sure it is with a friend that is good at ripping on terrible movies.",1,1999
"I always thought the phrase, ""I laughed until I cried,"" was just an oxymoron. Until it happened to me. I watched Dogma: the funniest movie I have ever seen. The movie seemed designed specifically for my warped sense of humor. It was an incredible mesh of the high-brow and the low-brow.",10,2005
"I have always loved Kevin Smith's style of directing and this film has re-affirmed my belief that he is one of the top directors in the film industry at the moment. Dogma's topic was a very sensitive one and could have been misused but Kevin Smith has dealt with the subject perfectly. Anyone who has critisized Dogma for being offensive has really not understood the film. Dogma is full of excellent moments, not least Alanis Morissette who I thought was fabulous in her small but important role as 'God'. All the performances were excellent and the actors complimented each other superbly. Overall this film has a mixture of everything and its underlying message is one which should reach everyone.",10,2000
"Dogma is one of Kevin Smith's most controversial films, a smartly written comedy that takes jabs against the Catholic Church and religion in general and it is very much a cult classic which my friends from college raved about.",10,2013
"While both funny and frightening, this film is more than just a comedy with gratuitous violence and (bad)-language.  It's a theological reflection...and a call to the Church to focus on things that matter (like living life to the fullest, helping those in need, honoring and respecting all, expecting respect in return) rather than those that don't (like...well, dogma [doctrines/church laws] or any belief that causes us to ""draw a line in the sand,"" condemning to hell or perdition any who disagree with us).  As I watched it (the first and all subsequent times), I felt sure that the movie was written by someone who really loves his church -- but is smart and aware enough to recognize its shortcomings, its blindspots, even its failures and hypocrisies.  Rather than simply leaving or ignoring or dismissing it, Smith chooses to enter into dialogue with it, using the potent medium of film to do so.  One can only hope that the church--not just Roman Catholic but all branches of it-- takes him up on his call to conversation.",9,2001
"Another vote from a cradle Catholic who was not remotely offended by this movie. Not that some of the negatives mentioned by other posters here aren't true -- yes, a lot of the humor is gross, yes, the F-word is overused, yes, its criticism of organized religion is less stinging that you'd expect (though that in itself is a slightly foolish expectation, given that the writer/director is himself an active member of an organized religion). And yes, if you're not Catholic, much of the movie is a little foggy, under-explained, and not very engaging. That last one I definitely agree with; I seriously doubt whether I'd recommend the film to a non-Catholic at all.",9,2000
"Dogma is firmly rooted in Kevin Smith's View Askew world so fans of his other films will not be disappointed. However, it also expands on the direction he took in Chasing Amy by dealing with subject matter and concepts that are personal and thought provoking. Dogma goes beyond the ""dick and fart jokes"", which are reassuringly present, and gives the viewer something to think about.",8,1999
It is not often that you get to see a group of stars that you like in a funny movie that also makes some interesting points.,8,2007
"I am a huge Kevin Smith fan and after seeing this film I can say that it was everything I hoped it would be, and a little bit more. It's extremely well written and directed. The film has the same great comedy we're used to from Kevin Smith, but he shows that he has another dimension that I don't think many people thought was there.",10,1999
"While held back from being truly stunning by some pacing issues and some minor script awkwardnesses, Dogma is an enjoyable trip from beginning to end.  Smith plays textures like a cardshark - from action sequences to philosophical debates to stoned one-liners to dramatic monologues, the action flows remarkably smoothly for all of the twists that are thrown at it.  I was also extremely impressed by the tasteful execution of the more violent scenes, where the graphic aftermath may be shown, but the action happens off-camera.  One rough point was that a great deal of dialogue came of as expostiory - there was simply such a massive back-story (2000 years of religious history...go fig...) that it seemed at times that the plot had to fight its way through the background information.  One particular shot also irked me - in the Bethany/Metatron scene in the cafe, every time the camera cut back to Bethany, she seemed to be in the exact same pose, and break it in a very similar way.  I wonder if this was intentional, or if it was a continuity issue?  The casting of God was simply inspired - her appearance was actually one of the highlights of the film.  Towards the very end, there were some surprisingly touching moments (of course rendered through Smith's unique style), and the closing scene felt like something right out of a good ol' 80's movie (that's a good thing!).  Issues and all, a truly enjoyable film!",9,1999
"""Dogma"" isn't the kind of comedy that most people will find themselves holding onto their guts during. It's more the second-long ""ha!"" kind of comedy.",6,2008
"This movie is one of the funniest movies of all time.  Kevin Smith puts together a movie that defines 'satire' almost perfectly.  The only flaw that this movie has are how long it is.  Even though the movie is almost two and half hours, it delivers enough philosophy to keep people thinking long after watching it.  ""Was Jesus Christ black?"" and ""Is there someone out in the world that is a direct descendent of Mary and Joseph?"" are very thought provoking.",10,2001
"Watching this film was long overdue. I had heard of Kevin Smith's cult following and had experienced the wonderful ride that Chasing Amy was. To add to that, the concept behind Dogma was pretty darn cool. The cast was big, the canvas huge, and the agenda enormous. But none of it could salvage this sinking vessel. All the king's horses and all the king's men, and so forth.",3,2007
There are about 800 reasons why you probably won't like Kevin Smith's 1999 offering 'Dogma.' It uses abnormally foul language. It's crude. It's irreverent. It's completely wacky and also part of the 'Askewniverse' (where you basically have to watch Smith's other films to fully appreciate all the gags here). It is definitely an acquired taste.,9,2014
"Would you believe that the last living descendant of Jesus Christ is a woman working at an abortion clinic in Illinois? And that she's been sent on a holy mission with two minor characters from Clerks and Mallrats as her guides? Prepare to suspend any and all disbelief as you watch the religious satire Dogma.It is written and directed by Kevin Smith, who also stars in the film along with an ensemble cast that includes Ben Affleck, Matt Damon, Linda Fiorentino, Alan Rickman, Bud Cort, Salma Hayek, Chris Rock, Jason Lee, George Carlin, Janeane Garofalo, Alanis Morissette, and Jason Mewes.",9,2012
"Isn't it a tad funny that Kevin Smith's best movie, Dogma, is somewhat his least popular movie? Dogma isn't just sex and crap jokes, well...ya it is but it's done in high taste and it comes packed with a philosophically honest and insightful story that delves in religion and belief. Dogma does demand an acquired intellect, and maybe some good virtue, a certain acumen in order to best effectively enjoy it. This movie is boring as ish if it's not thought provoking, but it's definitely not boring as ish; it's ridiculously amusing and completely f'ing hilarious. About all of the jokes are 'thinkers', Dogma's wry, ironic sense of humor. I really love Dogma and it's easily one of my most favorable comedies.",8,2013
"And that really says something as he is really quite picky!  I love how this film totally highlights every single bad thing about the Catholic church without offending anyone, maybe if Monty Python had done the same thing Life of Brian premieres wouldn't of had protesting nuns outside the theatres! I think the infamous Smith has made a fantastic film here with an even better cast who really understood that he was trying to hint at the future of Catholicism (not exactly Buddy Christ, but you get the picture) and point out that we do mourn religion and not celebrate it.  Well worth watching, even if you don't get the religious stuff, Chris Rock, Jay Mewes and Kevin Smith are too funny!  More power to Alan Rickman, he had the whole Sheriff of Nottingham thing going again!",10,2003
"I'm not sure what I find harder to believe- the idea that people actually found this film funny, or the fact that it is considered controversial. This is ""satire"" at the level of the Carry On films- when a film uses a giant ""poo monster"" for supposed comedic effect, you know your time is wasted on it. I watched this expecting to chuckle, instead I came out feeling nauseated and patronised. At least half an hour of the film -AT LEAST- is spent with characters explaining the plot background and details to other characters. Can you say yawn? This is the first Kevin Smith movie I've seen and the man is the biggest overwriter I've had the displeasure of coming across. The characters just cannot shut up! This would be fine if the dialogue was witty or insightful, but instead it's lots and lots of swearing (the word ""f~ck loses it's already minimal impact after the fiftieth time you hear it in one scene), and supposedly deep religious discussions that are immature and sound as if they were written by a twelve year old who just became interested in theology.",1,2003
"Dogma is one of those cultural oddities that surely merit reams of postmodern analysis; some day a clever graduate student will make her name with a Dogma-tic dissertation. Unfortunately, as a piece of entertainment, it is far too creepy to warrant most viewers' attention. The movie continually oozes a bizarre mish-mash of bloodthirsty divine retribution, inanely anti-intellectual pseudo-theology, and conservative values shrouded in flimsy pretension to open-mindedness. It would seem that the film wishes to revive sincere interest in an unadorned, anti-institutional version of ""original"" Christianity. It succeeds only in portraying Christianity as a barbaric, simplistic and primitive appeal to middle American mush. Of course, some may believe this portrayal to be accurate, but that makes it no less disconcerting.",1,2000
"Dogma is a very funny movie and criticizes a lot many of our societies's taboos,the catholic church and many of the facts that we consider right. Everything, of course, with lots of jokes and irony.",9,2005
"Ok lets start off with the good..... it had funny moments but thats about as far as it goes.  I have read some reviews and I can't believe how some people think that this movie is thought provoking.   It is far from it, nothing but cliches and many jokes, some funny, some not.  We've heard all these bible/catholic comments before which makes this movie totally unoriginal.  This movie was totally idiotic, if it wern't for some of the comedic moments this movie would have no value whatsoever.  I am not a religious type so don't cast me off like that, this movie was horribly written and just boring at times.  If you want a dark comedy, go see Very Bad Things which is very original, unpredictable and a riot.  Dogma just doesn't work at all.",1,1999
"Overrated would be my review for most of Kevin Smith films.  I am still not sure how on Earth he has such a cult following.  The only film of his that was good, was Chasing Amy and even that had its flaws.  He also has the pleasure of directing a film that is on my top five worst films list which is Jay and Silent Bob Strike Back.  Be that as it may my problems with Dogma are a little different than most of his films.  The first time I saw it I kinda liked it.  The second time I realized how bad it was.  First of all choosing to satarize the catholic church, especially in film form, is like writing a love poem.  It's been done so many times you had better do something new or different, Smith does neither of these.  I think of the films of Buneul, Felini, certainly the Monty Python stuff, certain Woody Allen films and so forth and that's what I think of as good satire of the church.  There are countless others that did the subject so much better than here.  The biggest problem that I had with Dogma is that the film had no idea what it wanted to be.  It kept switching from semi-serious film to farce.  Normally I don't have a problem with genre bending, but here it shouldn't be done.  If this film was a farce than all the serious elements are out of place and pointless.  If this film is suppose to be more serious, say just a normal variety of comedy(for an example ""As Good as it Gets""), all the farcicle elements become really asinine.  Take the reasoning for why the universe is going to be wiped out of existence.  If this is not a farce(and I mean Marx Brothers, Monty Python brand of farce) then that idea is so ridiculous it doesn't deserve to be thought of.  First of all if we are focussing on the catholic church, perhaps we should consider what they actuall believe.  According to the bible(not a bible nut, just happen to know this) angels can't be redeemed.  Period.  No confession, no archway, they are angels and not humans.  According to this films premise, if Lucifer walked through the archway he would be able to go back to heaven.  Of course he'd have to cut his horns off, I would imagine going with Smiths wing thing.  In this case, why didn't Azreal do it?  He was also an angel cast down, why couldn't he walk through the arches and undo all of creation? They are not human beings and therefore not subject to the same rules. End of discussion.  Too much of this film is trying to make a ""serious"" commment on religious dogma, and it tries to do so by ignoring what the catholic church and the bible actually says.  Couldn't Smith come up with something not totally idiotic to hinge the film on?  Since this is the base of the films story I must say that this film is completely pointless.  Outside of that the Jay and Silent Bob stuff here is really annoying and their pressence is pointless and forced.  Then of course there was the scene where Kevin Smith showed how bad of a writer he is when he gets out of the S*** Demon sequence by using odor spray.  This is moronic and worthy of a Junior High school laugh.  Even S*** Demon repelant(ala Batman style) would have been funier.  The truth is, Smith knew of no better way to get out of the scene and he is a very sloppy writer.  He isn't much better as a director as there is absolutely nothing visually interesting about this film, and that is the directors MAIN job.  We are after all talking about a visual medium. In the end, seriously don't waste your time with this, it is horrible.",1,2004
"First of all, I want to say that I'm Catholic and I was not offended by this movie. I'm a firm believer that one has to laugh at oneself throughout life in order to keep one's feet firmly on the ground.",1,2007
